,count,date,total_stories,ratio,query,query_name
0,78,2013-01-01 00:00:00,1162897,6.707386810697766e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
1,80,2013-02-01 00:00:00,1114118,7.18056794702177e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
2,102,2013-03-01 00:00:00,2122793,4.804990406506899e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
3,120,2013-04-01 00:00:00,2849652,4.211040505998627e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
4,142,2013-05-01 00:00:00,4499184,3.156127866742058e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
5,194,2013-06-01 00:00:00,5528896,3.508837930755073e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
6,211,2013-07-01 00:00:00,5722439,3.687238955277636e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
7,163,2013-08-01 00:00:00,5335503,3.055007184889597e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
8,140,2013-09-01 00:00:00,4895721,2.859640081614128e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
9,140,2013-10-01 00:00:00,5753197,2.4334296218259168e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
10,131,2013-11-01 00:00:00,5731629,2.2855631444393905e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
11,152,2013-12-01 00:00:00,5318966,2.857698281959313e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
12,205,2014-01-01 00:00:00,5264713,3.893849484292876e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
13,111,2014-02-01 00:00:00,5067546,2.1904093223820762e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
14,211,2014-03-01 00:00:00,5585409,3.777700075321252e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
15,186,2014-04-01 00:00:00,5678831,3.275321980879516e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
16,208,2014-05-01 00:00:00,5614724,3.70454540597187e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
17,146,2014-06-01 00:00:00,5545022,2.6329922586420757e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
18,165,2014-07-01 00:00:00,5984708,2.7570267421568436e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (ads OR advertising OR ""micro-targeting"" OR ""microtargeting"" OR ""micro-targeting"" OR ""sponsored content"")",ads
