,count,date,total_stories,ratio,query,query_name
0,82,2013-01-01 00:00:00,1162897,7.051355365092523e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
1,75,2013-02-01 00:00:00,1114118,6.731782450332909e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
2,78,2013-03-01 00:00:00,2122793,3.6744044285052756e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
3,119,2013-04-01 00:00:00,2849652,4.175948501781972e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
4,142,2013-05-01 00:00:00,4499184,3.156127866742058e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
5,318,2013-06-01 00:00:00,5528896,5.75160031948512e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
6,227,2013-07-01 00:00:00,5722439,3.966840013497741e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
7,241,2013-08-01 00:00:00,5335503,4.5169124635484226e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
8,158,2013-09-01 00:00:00,4895721,3.227308092107373e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
9,135,2013-10-01 00:00:00,5753197,2.34652142104642e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
10,158,2013-11-01 00:00:00,5731629,2.7566334108505626e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
11,156,2013-12-01 00:00:00,5318966,2.9329008683266633e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
12,133,2014-01-01 00:00:00,5264713,2.5262535678583047e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
13,176,2014-02-01 00:00:00,5067546,3.47308144810131e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
14,215,2014-03-01 00:00:00,5585409,3.849315242625921e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
15,146,2014-04-01 00:00:00,5678831,2.5709516624108027e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
16,134,2014-05-01 00:00:00,5614724,2.38658213653957e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
17,120,2014-06-01 00:00:00,5545022,2.164103226281158e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
18,203,2014-07-01 00:00:00,5984708,3.391978355502056e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
19,187,2014-08-01 00:00:00,5908826,3.1647572631179186e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
20,179,2014-09-01 00:00:00,5866829,3.051051939642352e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
21,278,2014-10-01 00:00:00,5792903,4.798975574077453e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
22,160,2014-11-01 00:00:00,5314544,3.010606366228222e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
23,136,2014-12-01 00:00:00,5260195,2.5854554821636842e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
24,209,2015-01-01 00:00:00,5507816,3.794607517752953e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
25,106,2015-02-01 00:00:00,5244516,2.0211588638494e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
26,124,2015-03-01 00:00:00,5782512,2.144396760439062e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
27,198,2015-04-01 00:00:00,5512932,3.591555274035668e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
28,191,2015-05-01 00:00:00,5522993,3.4582698185567136e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
29,269,2015-06-01 00:00:00,5613949,4.791635976742931e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (privacy OR cookies OR tracking OR ""user data"")",privacy
