,count,date,total_stories,ratio,query,query_name
0,136,2013-01-01 00:00:00,1162897,0.00011694930849421746,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
1,123,2013-02-01 00:00:00,1114118,0.0001104012321854597,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
2,131,2013-03-01 00:00:00,2122793,6.171115129925528e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
3,220,2013-04-01 00:00:00,2849652,7.72024092766415e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
4,283,2013-05-01 00:00:00,4499184,6.290029480901426e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
5,372,2013-06-01 00:00:00,5528896,6.72828716619014e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
6,306,2013-07-01 00:00:00,5722439,5.34737023845951e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
7,269,2013-08-01 00:00:00,5335503,5.041698973836206e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
8,185,2013-09-01 00:00:00,4895721,3.7788101078472406e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
9,211,2013-10-01 00:00:00,5753197,3.667526072894775e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
10,234,2013-11-01 00:00:00,5731629,4.0826089755634916e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
11,234,2013-12-01 00:00:00,5318966,4.399351302489995e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
12,210,2014-01-01 00:00:00,5264713,3.988821422934166e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
13,247,2014-02-01 00:00:00,5067546,4.874154077733088e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
14,364,2014-03-01 00:00:00,5585409,6.516980224724814e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
15,328,2014-04-01 00:00:00,5678831,5.775836611443447e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
16,279,2014-05-01 00:00:00,5614724,4.969077732048806e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
17,227,2014-06-01 00:00:00,5545022,4.093761936381857e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
18,278,2014-07-01 00:00:00,5984708,4.645172329209713e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
19,352,2014-08-01 00:00:00,5908826,5.957190142339612e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
20,254,2014-09-01 00:00:00,5866829,4.3294256573695947e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
21,335,2014-10-01 00:00:00,5792903,5.782938191783981e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
22,224,2014-11-01 00:00:00,5314544,4.214848912719511e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
23,205,2014-12-01 00:00:00,5260195,3.897193925320259e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
24,259,2015-01-01 00:00:00,5507816,4.7024083593206456e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
25,276,2015-02-01 00:00:00,5244516,5.262640060589004e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
26,259,2015-03-01 00:00:00,5782512,4.479022265755782e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
27,293,2015-04-01 00:00:00,5512932,5.31477623885076e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
28,214,2015-05-01 00:00:00,5522993,3.874710686759878e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
29,267,2015-06-01 00:00:00,5613949,4.7560104304474446e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""search engine"" OR Google OR Bing OR Yandex OR Yahoo OR Duckduckgo OR Youtube)",search_engines
