,count,date,total_stories,ratio,query,query_name
0,285,2013-01-01 00:00:00,1162897,0.00024507759500626454,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
1,331,2013-02-01 00:00:00,1114118,0.0002970959988080257,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
2,268,2013-03-01 00:00:00,2122793,0.00012624876754351461,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
3,566,2013-04-01 00:00:00,2849652,0.0001986207438662686,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
4,365,2013-05-01 00:00:00,4499184,8.11258219268205e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
5,541,2013-06-01 00:00:00,5528896,9.784955260507703e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
6,443,2013-07-01 00:00:00,5722439,7.74145429946916e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
7,442,2013-08-01 00:00:00,5335503,8.284129912400012e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
8,482,2013-09-01 00:00:00,4895721,9.845332280985784e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
9,482,2013-10-01 00:00:00,5753197,8.377950555143515e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
10,381,2013-11-01 00:00:00,5731629,6.647324870468762e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
11,402,2013-12-01 00:00:00,5318966,7.55785992991871e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
12,397,2014-01-01 00:00:00,5264713,7.540771928118399e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
13,508,2014-02-01 00:00:00,5067546,0.00010024575997928781,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
14,678,2014-03-01 00:00:00,5585409,0.00012138770858141275,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
15,510,2014-04-01 00:00:00,5678831,8.980721560476091e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
16,581,2014-05-01 00:00:00,5614724,0.00010347792696488732,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
17,434,2014-06-01 00:00:00,5545022,7.826840001716855e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
18,630,2014-07-01 00:00:00,5984708,0.00010526829379144313,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
19,847,2014-08-01 00:00:00,5908826,0.0001433448878000469,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
20,654,2014-09-01 00:00:00,5866829,0.00011147418818581555,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
21,961,2014-10-01 00:00:00,5792903,0.00016589264484490765,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
22,542,2014-11-01 00:00:00,5314544,0.00010198429065598102,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
23,544,2014-12-01 00:00:00,5260195,0.00010341821928654737,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
24,715,2015-01-01 00:00:00,5507816,0.00012981552034418,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
25,820,2015-02-01 00:00:00,5244516,0.00015635379890155735,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
26,574,2015-03-01 00:00:00,5782512,9.926481778161463e-05,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
27,610,2015-04-01 00:00:00,5512932,0.00011064892510917965,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
28,558,2015-05-01 00:00:00,5522993,0.0001010321758510286,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
29,713,2015-06-01 00:00:00,5613949,0.0001270050725434093,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
30,807,2015-07-01 00:00:00,5487580,0.00014705935949908702,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
31,627,2015-08-01 00:00:00,5377132,0.00011660491131703667,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
32,613,2015-09-01 00:00:00,5816241,0.00010539453231047338,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
33,752,2015-10-01 00:00:00,5957769,0.00012622174508612202,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
34,859,2015-11-01 00:00:00,5711112,0.00015040853690139505,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
35,661,2015-12-01 00:00:00,5747715,0.00011500222262238124,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
36,846,2016-01-01 00:00:00,6188008,0.00013671604820161837,"(""fake news"" OR ""misinformation"" OR ""disinformation"") AND (""social media"" OR ""social networks"" OR Facebook OR Instagram OR Twitter OR Tiktok)",social_media
